user_id,prod_id,rating,label,date,text_
5044,0,1,0,11/16/2014,"Drinks were bad, the hot chocolate was watered down and the latte had a burnt taste to it. The food was also poor quality, but the service was the worst part, their cashier was very rude."
5045,0,1,0,9/8/2014,"This was the worst experience I've ever had a casual coffee/light fare place. ˜The server disappeared for 20 minutes, just talking to his friend by the window as my girlfriend and I sat dumbfounded that this dude had the nerve to do that on the job. ˜We're trying to make eye contact, but clearly getting paid to talk to his bud was more important to him. My girlfriend went up to the counter once the server disappeared into the back for another 5 minutes (what is this guy doing?) and asked if she should order food up there or something. ˜The girl at the counter gives her a weird look and just says ""I'll get your server."" ˜When they arrive from the back, they look over at our table and have a laugh. ˜Yeah, leaving us hanging for half-a-goddamn hour at a place with only two other customers is not funny - but in retrospect, your collective incompetence and false sense of entitlement certainly was. The food was okay. ˜For a place called ""toast,"" I'd figured the bread would be better, but it was just cold Le Bus. ˜Additionally, I'm 95% sure the ""andouille"" in my special was just a link of the pre-packaged offering from Trader Joe's cut into four pieces. ˜$9 for unapologetic mediocrity will not be happening again. Avoid this place like the plague. ˜I almost didn't leave a tip, and honestly I shouldn't have. ˜I felt the buyer's remorse all day. ˜What a disgrace."
5046,0,3,0,10/6/2013,"This is located on the site of the old Spruce St. Video. ˜The mild cofee is very good and the pastris are great. ˜At times, the service is slow even when it is not busy and at other times some patrons receive a complimentary mimosa drink. ˜The WIFI is good."
5047,0,5,0,11/30/2014,"I enjoyed coffee and breakfast twice at Toast during my recent visit to Philly. The first morning I enjoyed the Omelette du Jour which had a savory filling of roast tomato, portobello, artichoke, goat cheese, and wilted spinach. It was accompanied by a crisp small side salad of baby greens, tomato, and berries. The house dressing was light and complementary, not at all over powering. I just HAD to complement the chef. The barista recommended a pour over coffee and it did not disappoint. He prepared my cup with care and attention to time and form. I followed the pour over with a wonderful latte, again prepared very well. As I was leaving town, I decided to visit again for breakfast before my long trip ahead. This breakfast was a delicious Eggs Benedict combo that was perfectly done and complemented by mushrooms, roast tomato, and a generous helping of wilted greens. A rich cup of melted butter accompanied the dish and the sweet side salad again brought balance to my meal. This time the barista made me a perfect cup of French Pressed Guatemalan Vienna roast coffee. It was balanced and bright, yet rich in flavor. I had to have a second cup to go! Cudos to the barista, chef, and friendly staff. Toast is definitely a place to visit, eat, and enjoy coffee prepared in a variety ways. Don't miss this one!"
5048,0,5,0,8/28/2014,"I love Toast! The food choices are fantastic - I love that they serve brunch all day, and their coffee is well brewed and prepared. I'm a fan of the large windows - it's the perfect location to sit and people watch for a little while. Nestled in Center City, Toast provides people like me who travel into the city for work a little haven to de-stress and kick back a little bit. The staff is wonderfully friendly and always eager to provide their own suggestions when you're not sure what to get. ˜Now that school is starting back up it also makes it the perfect environment to settle down and do some studying. I love the fact that they play Maps by the Yeah Yeah Yeah's - and related Pandora stations - it really sets the mood to unwind or have casual conversation with some friends. Can't wait to go back!"
5049,0,5,0,7/16/2013,"The egg on an English muffin (their take on eggs Benedict) was fantastic. Service was quick and pleasant. They have multiple roasters providing their coffee and the barista knew how to make a good cup. They have a La Marzocco Strada for espresso and then you can choose between a Chemex, French Press, or Fetco for filter coffee. There was plenty of seating, it's well lot, and comfortable. Free wifi available. Good stuff."
5050,0,5,0,3/3/2013,wonderful relaxed vibe and fantastic homemade English muffins. best Earl Grey tea in Center City.....looking forward to the outdoor seating in the Spring. friendly and helpful staff are a delight!
5051,0,1,1,12/5/2014,"Extremely slow kitchen. I went with an hour to eat before my shift and told the server that information as well. I got canned fruit and an omelette over 45 minutes later. I boxed it and left. About 2 weeks later I was waiting for quick hem and asked for the fastest thing they could make, bagel and cream cheese was the answer. That took over 15 minutes. Don't come here with any time constraints."
5052,0,2,1,11/26/2014,"I really wanted to love toast. It's quaint and cozy, and it was a perfect place to hop on a call while on my layover in Philadelphia. I figured I'd get a latte and some food while there. The latte was upwards of $4 for a small. I also ordered a turkey sausage grilled cheese, which I believe was around $10. We sat down and availed ourselves to the free wifi (great perk) while waiting for our food, which came within 15 mins. I took a bite of my crunchy grilled cheese, which was basically the size of a wonder bread slice, and was immediately horrified. This is not a grilled cheese with turkey sausage; this is a fucking abomination. I spread the sandwich and there was ONE slice of cheese on it--it was so dry that it wasn't even gooey or sticky. Also, there was ONE turkey sausage link that was sliced in half and spread diagonally across the sandwich. I would say that approximately 70% of the sandwich was turkey-less. The server happened to be nearby so my boyfriend said something about how the grilled cheese had no cheese...and he happily took it back and made a new one, with more cheese and the same amount of turkey sausage. It was a nice gesture but honestly, it's highway robbery to serve that sandwich and charge $10 for it. At the very most that sandwich costs $2 to make...and I'm including the side of salad greens. Overall, toast needs to step up their game. A little less stingy with the cheese, Some small tweaks to the menu, and slightly more reasonable prices, and the place would be great."
5053,0,4,1,11/17/2014,"First brunch experience here in Philly (actually in my entire life), and oh man, I can see why now brunch is such a thing. My friends and I initially planned on Green Eggs Caf?, but because we would have had to wait 45 minutes for a table, we came here instead. Not only did the waitress seat us quickly, but the place also provided a very toasty ambience. (No pun intended.) I ordered a plate of their special egg toast: two poached eggs served atop a homemade split English muffin, with smoked salmon and asaparagus on the side. (I opted out of the Hollandaise sauce.) O-M-G. While I didn't get that runny yolk porn experience, each bite was a delicious sensation of salty and savory. Also, that English muffin was on point - so chewy and carb-y. I definitely recommend this place for a nice brunch minus the the terribly long line."
